  Remplis une ligne par question. Le champ 'id' doit correspondre exactement aux onglets OPTIONS et IMAGES.,,,,
id,titre,niveau,explication_texte,actif
q-011,Que va-t-il probablement se passer après cette configuration ?,avance,"1. Tendance haussière. Le prix a cassé le précédent sommet. Donc on attend le pullback. Parce que c'est over-extended
2. Responsable de la tendance ou de la demande
3. Le breach
4. Pullback jambe 1
5. Pullback jambe 2 ou congestion. 
6. Accepted price après la première jambe. Le prix prend une pause là et fait une congestion. C'est à ce moment que je me fais le plus avoir parce que j'ai un niveau qui a déjà réagit dans le passé et maintenant le prix se calme là donc j'ai tendance à sauter et me positionner pour un déclenchement instantané. Ce qui n'arrivent souvent pas. Et qui me fait prendre plusieurs trade. Il faut attendre qu'il y ai un retour de la volatilité avec un break.
7. Le prix a cassé dans le sens du pullback. Ce qui fait que beaucoup plus de personnes vont maintenant se positionner pour la vente. Ce type de mouvement rajoute encore plus d'ordre de vente pour ceux qui veulent acheter.
8. C'est le support ou il y a eu le responsable du breach. Le responsable du mouvement 1
9. Rejet. Il faut attendre la réaction des vendeurs et voir s'ils vont encore plus pousser le prix vers le sud.
10. Petit range qui montre que les vendeurs n'arrivent pas à continuer la descente.",oui
q-012,Que va-t-il probablement se passer après cette configuration ?,avance,"1. Tendance baissière
2. Congestion durant la tendance. Cela montre aussi que la tendance est sur le point de se calmer. On peut voir que la jambe qui a suivi la congestion est plus faible que la jambe précédente
3. Pullback qui a commencé.
4. Set1 
5. Set2 avec FOMO qui a suivi
6. Le prix stabilise après le FOMO ce qui implique une possibilité d'avoir un Dash ou une autre réaction des vendeurs.
7. Réaction des vendeurs qui poussent le prix jusqu'au précédent creux.
8. Cassure de la structure de lower lows et lower highs. On voit que la réaction après ne permet pas au prix de descendre. Il stagne un peu et continue à monter.
9. Le pris monte. Le pulllback du mouvement en 1 continuer. On ne peux pas vendre pour le moment parce que les acheteurs sont fort.
10. Fort mouvement baissier. Cela montre que les vendeurs sont présents. Est-ce que l'on pouvait l'anticiper? Oui c'était possible. Mais c'est aussi anticiper un Kill, donc faut pas trop durer dans ce type de mouvement, surtout avec les acheteurs qui n'ont pas fini.
11. Réaction des acheteurs. il faut attendre la réaction des vendeurs ou s'attendre à un range.
12. Support 
13. Les vendeurs poussent mais ne dépassent pas le support. Voici encore un autre point de confusion. Le fait de vouloir aller avec le vendeurs peut pousser à vouloir prendre ce sell et a attendre que le prix fasse plus bas. Alors qu'il y a bien du volume à l'entame du mouvement 11.
14. Les acheteurs essayent encore! Mais cela ne passe pas.
15. Squeeze s'installe. On fait quoi? On attend que le prix sorte dans un sens ou dans l'autre. 
16. Le prix est sorti du sens haussier. On fait quoi? On attend la réaction.
17. La réaction est très forte. Les acheteurs ne sont pas de la partie. On va avec les vendeurs alors. Et on peut y aller en même temps.",oui
q-013,Que va-t-il probablement se passer après cette configuration ?,avance,"1. Tendance baissière bien soutenue avec une forte intensité vers la fin
2. Un peu trop Sharp reversal. Si tu étais dans cette tendance, comment tu pouvais anticiper ce fort mouvement là? On pouvait l'anticiper en étant éveillé sur le changement d'intensité. Le prix qui bouge lentement et qui subitement augmente d'intensité est extrêmement mauvais si je suis entrain de vendre et de tenir la position de vente.
3. Le Sharp reversal est soutenu par du volume. Quand on a une situation pareille, il ne faut pas chercher à acheter. Parce que la tendance va prédominer encore pour tout au moins une jambe. On peut même suivre la tendance encore pour un moment. Mais le mouvement n'est souvent pas clean
4. Une autre jambe baissière. On peut voir que le prix descend mais pas avec la même intensité qu'avant.
5. Le mouvement de descente n'est pas soutenu avec du volume.
6. Les acheteurs reprennent encore
7. Le mouvement est encore soutenu par les volumes
8. Nous avons un mouvement entier haussier en deux jambes
9. Une petite réaction au sommet qui est soutenu par du volume.
10. Volume au sommet. Mais il faut voir que ce volume est en dessous du niveau des autres volumes qui ont soutenu les mouvements haussier.
11. Le prix est quand même redescendu. Il est redescendu avec du volume, cela ve dire qu'on aura probablement droit à une autre jambe soit plus basse ou qu'il y aura un retard.
12. Le volume au creux.Ce mouvement montrent que les acheteurs sont aussi là. Possibilité d'avoir un money spot ou que le prix dure un peu le temps d'un session.
13. Le another try qui ressemble à une seconde jambe comme on l'avait dit.
14. Il faut être éveillé sur le fait que depuis le point 9 on peut remarquer qu'on rentre dans un mouvement en canal haussier. Donc faire attention aux entrées en position et aux Trager. Tu auras des prix deep pour les entrées si tu veux faire du sell et des targets qui n'iront pas vers le previous low

Note : 
En prenant le Buy comme sur le graphique, il faut être éveillé sur le fait qu'on est pas Fully du coté des acheteur et que les vendeurs vont toujours se positionner. Donc faire attention à ne pas trop durer dans le Buy.",oui
q-014,Que va-t-il probablement se passer après cette configuration ?,avance,"1. Une congestion qui a bien duré
2. Break de congestion vers le sud.
3. Support devenu résistance.
4. A chaque fois le prix but sur la résistance.
5. Congestion: Le prix ne fait pas de plus haut. Et pour chaque plus bas qu'il fait, il revient encore sur la résistance. C'est une configuration très confuse
6. Congestion break vers le sud.
7. Le prix finit sa course avec un fort volume et il remonte encore. Les vendeurs vont essayer encore. Le another try. Donc faut pas que le volume élevé en fin de courses me fasse penser que le prix ne vas pas revenir vers le bas.
8. Le another try. Ici aussi il ne faut pas penser que le prix le prix va faire un creux plus bas que le précédent. Il faut juste sortit rapidement quand on est proche du précédent creux.
9. Deuxième jambe de pullback. Cette jambe est intense et plus grande que la précédente.
10. Troisième jambe du pullback relativement faible après une première et une deuxième jambe fortes. Il faut remarquer que le prix s'est pausé un peu vers le dernier breach et a continuer faiblement. La petite pause peut faire penser que le prix va descendre mais ce n'est pas ce qui s'est passé.
11. Une forte volatilité vers la résistance. On peut remarquer la différence de volatilité en comparant avec le mouvement en 10.
12. Réaction du prix une fois au niveau de la résistance 
13. Deux jambes baissières avec création de Trap? A ce stade, on a les premiers vendeurs et le prix est over-extended. Donc il ne faut jamais au grand jamais sauter et vendre. Il faut toujours attendre une réaction de la part des acheteurs.
14. Création de Trap. On attends la réaction des acheteurs
15. Réaction des acheteurs qui est très forte. C'est bien ce qui est préférable.
16. Le rejet et le prix qui traine à ce niveau.",oui
q-015,Que va-t-il probablement se passer après cette configuration ?,avance,"1. Congestion. Quand on voit le prix qui fait du surplace comme ça. Il faut laisser le temps que la congestion casse dans un sens ou dans l'autre. 
2. Cassure de la congestion et création de S/R
3. Le prix a fait une pause et a fait un petit pullback
4. Seconde jambe haussière plus petite et moins consistante que la première. Mais il y a du volume qui soutient ce mouvement là. À ce stade on pourrait s'attendre à un cassure pour créer un pullback
5. On peut voir la course complète de la tendance haussière après le range. Et on peut s'attendre à un deep pullback
6. Le prix a commencé par pullback avec trois jambes relativement fortes.
7. Mais on a pas fait ce deep pullback et on est même pas venu au niveau du précédent creux. D'où les points d'interrogations.
8. Au lieu de descendre le prix a commencé par se confondre en un squeeze. Quand on voit un squeeze on laisse le prix break dans un sens ou dans l'autre.
9. Finalement la congestion a break dans le sens des acheteurs. Il faut attendre la réaction des vendeurs avant de faut quoi que ce soit.
10. Les vendeurs ont poussé vers le sud avec une seule bougie verte.
11. Les acheteurs ont repris timidement. A ce moment précis on peut avoir peur et se demander si les acheteurs sont aussi fort, pourquoi le prix est aussi faible. Mais la vrai question est de se demander pourquoi les vendeurs ne prennent pas le main si les acheteurs sont aussi faible. Surtout qu'ils ont eu un très bon prix avec le discount.",oui
q-016,Que va-t-il probablement se passer après cette configuration ?,avance,"1. Le flow général est baissier. Il n'y a pas de confusion sur cela. Même si l'angle n'est pas trop poussée, le flow est baissier.
2. Forte réaction des acheteurs à la fin de la première jambe qui a fait une cassure. Il y a du volume qui est à la base aussi. Cela veut pas dire que les acheteurs sont là et vont persister. Cela veut juste dure que le prix ne risque pas de casser ce niveau de ci tôt.
3. Comme on peut le voir le prix a réagit à ce niveau. Mais on peut voir aussi que le volume a commencé à se retourner de faible volume à volume en augmentation. Le prix est monté vers la résistance dans un force relativement forte. Il ne faut donc pas s'attendre à ce que cette force soit renversée automatiquement.
4. Réaction des verdeurs quand le prix est venu au niveau de la résistance. On peut s'attendre à une réaction des vendeurs. Mais cette réaction ne devrait pas reversée complètement l'achat qui est en cours. Est-ce qu'a ce niveau on pourrait s'attendre à ce que le prix casse la résistance?? C'est une possibilité. En live, c'est une possibilité qui devrait être explorée. Une fois qu'on a vu le range à ce niveau, on pense au scénario de cassure de range.
5. Le prix est descendu. A ce moment il faut laisser les acheteurs prendre la main et essayer de remonter le prix tout au moins au précédent sommet. Parce qu'il y a eu du volume à la base du dernier mouvement haussier et que le mouvement est assez propre. 
6. Réaction des acheteurs. La réaction est plus ou moins intense. Ce qui peut induire les acheteurs en erreur. Et ce qui peut être une très bonne opportunités pour les vendeurs.
7. On peut voir tous les petits signes de rejets qui montrent que les vendeurs sont présents.",oui
q-017,Que va-t-il probablement se passer après cette configuration ?,avance,"1. Tendance haussière 
2. Pullback a commencé. On a un petit pourcentage de pullback. Et on sait que le BB n'aime pas ça. Donc on peut s'attendre à un pullback plus deep. Mais si on a pas ce pullback deep alors il faut réfléchir autrement.
3. Le début du pullback a créé un accepted price. Il faut se demander si ce acheter price tiendra la prochaine fois ou si on aura plus deep.
4. On a une seconde jambe de pullback qui s'est déroulée en deux temps. Mais qui s'est quand même calmé sur le accepted price. A ce stade je m'attends à deux choses. Je m'attends à un Kill vers le nord. Ou je m'attends à une continuation du pullback vers le sud.
5. On peut remarquer que les volumes sont entrain d'aller en diminution.
6. Finalement le prix s'est confondu en range. Pas de cassure vers le sud ou le nord. Même à ce niveau on a toujours le scénario de cassure qui tient bien. Soit on casse vers le sud soit ton casse vers le nord.
7. On peut voir un petit indice sur la capture. Le volume a break ainsi que le prix qui a break aussi. On peut même trader la cassure mais il faut avoir la patience d'attendre que la bougie clôture d'abord.
8. Cassure a continué et est maintenant officiellement là. On a un break ou un kill. Il faut attendre le pullback ou le test ou la réaction des vendeurs.
9. Réaction des vendeurs en une première jambe forte, ensuite une seconde jambe moins forte et une troisième jambe encore moins forte mais le tout qui vient au niveau du Break. On attend donc de voir la baisse être digérée parce qu'elle a un peut de puissance.
10. Les vendeurs ont du mal a poussé le prix vers le sud. La configuration est confuse mais c'est la meilleur configuration pour se positionner pour le nord.
11. Petite cassure mais malgré cela les vendeurs n'ont pas poussé le prix vers le sud.
12. Réaction rapide mais contenu par les acheteur qui poussent encore vers le sud
13. Encore une autre opportunités pour se positionner vers le nord.",oui
q-018,Que va-t-il probablement se passer après cette configuration ?,avance,"1. Congestion qui a duré un bon moment
2. Le prix a cassé la congestion puis on a eu droit à un set one et un set 2 avant que le prix ne descende a nouveau
3. Le prix a fait un plus bas, mais qui n'est pas trop prononcé. C'est un tiny break et pour un tiny break il faut s'attendre à un deep pullback.
4. Première jambe de pullback. Il faut s'attendre à une deuxième jambe de pullback.
5. Deuxième jambe de pullback. Mais la deuxième jambe de pullback va vers le Trap qui a été créé quand il y a eu le break. Dans la structure de la deuxième jambe. On peut voir Une première bogie verte à l'entame de la seconde jambe.
6. Une seconde bougie verte plus petite que la précédente et une troisième bougie verte qui est encore plus petite. Après cela on vient voir un bougie rouge qui fait relativement la même taille que la bougie verte qui a précédé.
7. Finalement un range. La question que je pourrait me poser une fois à ce niveau c'est de savoir comment je fais pour être sur que le précédent creux ne va pas m'avoir. C'est aussi de savoir et si je ne vais pas traiter le range qui se développe comme un congestion et attendre que le prix casse dans un sens ou dans l'autre et ensuite de voir le test ou la réaction avant de me positionner. Il faut reconnaitre que là ce n'est pas la même chose. J'ai déjà le congestion break dans le mouvement 3 et le pullback dans le mouvement 5 donc c'est juste une continuation.",oui
q-019,Que va-t-il probablement se passer après cette configuration ?,avance,"1. Première jambe baissière over-extended
2. Rejet intense avec du volume. Le prix s'est ensuite stabilisé
3. Les acheteurs sont prix la main avec beaucoup de force
4. Il y a une autre tentative des vendeurs. Ce qui est tout à fait normal parce que le flow principal est baissier 
5. La chute du prix a pris plus de temps que la précédente baisse de prix. Beaucoup plus de temps.
6. Un range qui s'installe au support. Comment je fais pour ne pas tomber dans ce range? Il faut juste attendre. Du moment ou le prix est venu à ce niveau il n'y a plus rien à faire. On attends juste que la volatilité revienne.
7. La volatilité est revenue. On a un spike vers le sud et le rejet a suivi.
8. Finalement le prix a cassé. On attend la réaction des vendeurs. On peut remarquer que le prix est revenu avec intensité aussi. A ce moment la seule chose qu'il faut faire c'est d'attendre de digérer les vendeurs ou de voir s'ils vont faire plus bas. 
9. Le prix s'est stabilisé et a fait un double bottom. Toujours avec volatilité.
10. On peut voir que tout au long du développement le volume est allé en croissance
11. Finalement le prix a cassé de manière très intense.
12. Pullback avec définition du accepted price. On attend de voir ce qui va se passer si le pullback fait une seconde jambe
13. Seconde jambe et on peut voir que le prix n'a pas vraiment fais plus bas que le accepted price. Le prix baissier a été digéré par un double bottom",oui
q-020,Que va-t-il probablement se passer après cette configuration ?,debutant,"1. Congestion 
2. Congestion break
3. Support equals resistance 
4. Deman slowing down
5. Price pulling back with multiple leg. Vers la fin on peut voir que le prix ne bouge plus malgré les mouvements intenses
6. Le prix se tasse. Plus de HH on fait des equal highs. Dans ce cas, on attends que la volatilité revienne et que le prix aille dans un sens. Ayant en tête que nous somme dans une congestion qui a cassé vers le sud. (Souvent c'est à ce moment que je prends le sell et il marche bien. Tellement il marche que je tiens la position en oubliant que le prix qui descend est un discount pour les acheteurs.
7. Finalement le prix est descendu. C'est les premiers vendeurs ou le kill. Ce kill a fait un trap. Il faut attendre que le prix réagisse d'abord. En plus il est over-extended donc il n'y a rien a faire pour le moment.
8. Le prix réagit et monte avec intensité vers le Break qui a créé le trap.",oui
q-021,Que va-t-il probablement se passer après cette configuration ?,avance,"1. Congestion 
2. Congestion break
3. Pullback. Ce pullback n'est pas consistant on attends de voir
4. Le prix monte mais c'est faible à en juger les bougies
5. 100% de retracement par rapport à la dernière jambe baissière. Le mouvement est soutenu par du volume.
6. On pouvait s'attendre encore à une autre tentative, d'ou le mouvement de descente qu'il y a eu. C'est à cause du volume qui a soutenu le mouvement.
7. Tout ce qui s'est passé jusqu'à ce moment ne dit encore rien par rapport à la direction que va prendre les choses. Souvent à ce niveau le prix plonge pour faire un deep pullback.
8. Kill. Ce mouvement marque le fait que les acheteur sont bien là. Après un kill il faut attendre le pullback ou le test ou la réaction des vendeurs.
9. Faible réaction de la part des vendeurs. 
10. Kill du faible mouvement baissier. 
11. Reprise du mouvement.Toutes les bougies sont vertes. Jusqu'à ce qu'on fasse une pause.",oui
q-022,Que va-t-il probablement se passer après cette configuration ?,avance,"1. Huge congestion 
2. Breach of the congestion 
3. Slowing down of the move. No trade is allowed 
4. Intense pullback. Ce qui peut me tromper là c'est de vouloir reprendre le trade comme si je prenais un Sharp reversal. Mais il n faut pas parce que le prix en montant a fait un Breach donc cela ne servirait à rien.
5. Seconde jambe du pullback plus faible que la première
6. Movement intense après le mouvement faible. Si la volatilité était aussi faible, pour quoi le prix est tout à coup revenu intense et volatile à ce moment? Quand on voit ça, il faut se demander ce qui va suivre.
7. Second try avant que le prix ne chute. Reprise de la tendance.",oui
q-023,Que va-t-il probablement se passer après cette configuration ?,avance,"1. Demand to the upside, price over-extended. Waiting for the pullback.
2. Price losing momentum and slowing down. Pullback is coming.
3. First leg of the pullback with volume supporting. Another leg could happen — no trend resumption yet.
4. First leg creates an accepted price. Waiting to see if price will hold.
5. Buyers attempt to push higher — no higher high formed.
6. Sellers push again with volume supporting the move. Price holds above the accepted price.
7. Sellers push again — no lower low formed.
8. Accepted price still holding.
9. Sellers attempt another leg following the move at point 5. Points 6 and 7 belong to the same leg.
10. Kill made. Waiting for the pullback or a retest.
11. Strong move to the downside. Waiting for price to slow down.
12. Sellers being absorbed, but buyers are not back yet. Waiting.
13. Buyers make a first leg up. Sellers making no further progress.",oui
q-024,Que va-t-il probablement se passer après cette configuration ?,debutant,"1. Bullish trend, but weak.
2. Strong break of the bullish move — trap created. The down move was supported by volume.
3. Pullback begins.
4. Price pushes up aggressively but fails to break resistance and got rejected.
5. After the rejection to the down side, Price returns to the same resistance level.
6. Price losing momentum on the approach to resistance.
7. Rejected again at the same level.",oui
q-025,Que va-t-il probablement se passer après cette configuration ?,avance,"1. Huge congestion developing
2. Congestion got broken, creating a demand to the upside.
3. Demand slowing down. So we wait for the pullback
4. Pullback. Slow and choppy pullback.
5. Break of the pullback structure withe the first Higher high. We wait to see if sellers will push to the previous low again
6. Sellers pushed but it was weak
7. Price get stuck at the support. Sellers can't go through

1. Large congestion developing.
2. Congestion broken — move to the upside initiated.
3. Upward demand slowing down. Waiting for the pullback.
4. Pullback. Slow and choppy.
5. Pullback structure broken with the first higher high formed. Waiting to see if Sellers push back to the previous low.
6. Sellers push — weak attempt.
7. Price holds at support. Sellers making no further progress.",oui
